table_name,field_name,language,translation,field_value
stops,stop_name,fr,Calypso 2000,CALYPSO 2000
stops,stop_name,nl,Calypso 2000,CALYPSO 2000
stops,stop_name,fr,Cambre-Étoile,CAMBRE-ETOILE
stops,stop_name,nl,Ter Kameren-Ster,CAMBRE-ETOILE
stops,stop_name,fr,Campus CERIA,CAMPUS CERIA
stops,stop_name,nl,Campus COOVI,CAMPUS CERIA
stops,stop_name,fr,Candries,CANDRIES
stops,stop_name,nl,Candries,CANDRIES
stops,stop_name,fr,Capricorne,CAPRICORNE
stops,stop_name,nl,Steenbok,CAPRICORNE
stops,stop_name,fr,Carène,CARENE
stops,stop_name,nl,Carina,CARENE
stops,stop_name,fr,Carli,CARLI
stops,stop_name,nl,Carli,CARLI
stops,stop_name,fr,Carrefour Stalle,CARREFOUR STALLE
stops,stop_name,nl,Kruispunt Stalle,CARREFOUR STALLE
stops,stop_name,fr,Cavell,CAVELL
stops,stop_name,nl,Cavell,CAVELL
stops,stop_name,fr,Ceres,CERES
stops,stop_name,nl,Ceres,CERES
stops,stop_name,fr,CERIA,CERIA
stops,stop_name,nl,COOVI,CERIA
stops,stop_name,fr,Cerisaie,CERISAIE
stops,stop_name,nl,Kerseboomgaard,CERISAIE
stops,stop_name,fr,César De Paepe,CESAR DE PAEPE
stops,stop_name,nl,César De Paepe,CESAR DE PAEPE
stops,stop_name,fr,Chant d'Oiseau,CHANT D'OISEAU
stops,stop_name,nl,Vogelzang,CHANT D'OISEAU
stops,stop_name,fr,Chapelle,CHAPELLE
stops,stop_name,nl,Kapellekerk,CHAPELLE
stops,stop_name,fr,Charmille,CHARMILLE
stops,stop_name,nl,Haagbeuken,CHARMILLE
stops,stop_name,fr,Charroi,CHARROI
stops,stop_name,nl,Gerij,CHARROI
stops,stop_name,fr,Chasseurs Ardennais,CHASSEURS ARDEN.
stops,stop_name,nl,Ardense Jagers,CHASSEURS ARDEN.
stops,stop_name,fr,Châtaignes,CHATAIGNES
stops,stop_name,nl,Kastanjes,CHATAIGNES
stops,stop_name,fr,Chaumontel,CHAUMONTEL
stops,stop_name,nl,Chaumontel,CHAUMONTEL
stops,stop_name,fr,Chazal,CHAZAL
stops,stop_name,nl,Chazal,CHAZAL
